Scraping 237 permits from ILMS (delay 2.0s, headless=True)...

[1/237] 25111965  Partial  18 insp  (248 W 22nd St, Houston, Tx 77008)
[2/237] 25039460  Passed   3 insp  (2225 Singleton St, Houston, Tx 77008)
[3/237] 25111629  Partial  27 insp  (2011 Singleton St, Houston, Tx 77008)
[4/237] 25076882  Partial  28 insp  (118 E 23rd St, Houston, Tx 77008)
[5/237] 25113508  Partial  8 insp  (735 E 8th 1/2 St, Houston, Tx 77007)
[6/237] 25112613  Partial  9 insp  (731 E 8th 1/2 St, Houston, Tx 77007)
[7/237] 25102311  Partial  14 insp  (527 W 27th St, Houston, Tx 77008)
[8/237] 26032635  Passed   2 insp  (2047 Columbia St, Houston, Tx 77008)
[9/237] 26010787  Partial  7 insp  (314 W 21st St, Houston, Tx 77008)
[10/237] 26015303  Partial  10 insp  (1123 Louise St, Houston, Tx 77009)
[11/237] 25087111  Partial  25 insp  (713 E 26th St, Houston, Tx 77009)
[12/237] 25105488  Partial  40 insp  (709 Ridge St, Houston, Tx 77009)
[13/237] 26014140  Partial  10 insp  (618 Wendel St, Houston, Tx 77009)
[14/237] 25103369  Partial  54 insp  (1326 Lawrence St, Houston, Tx 77008)
[15/237] 23084458  Partial  29 insp  (1140 Waverly St, Houston, Tx 77008)
[16/237] 25067224  Passed   32 insp  (1436 Alexander St, Houston, Tx 77008)
[17/237] 25116392  Partial  5 insp  (614 E 26th St, Houston, Tx 77008)
[18/237] 25105558  Partial  44 insp  (407 E 27th St, Houston, Tx 77008)
[19/237] 25088149  Partial  7 insp  (1006 E 28th St, Houston, Tx 77009)
[20/237] 25080674  Partial  25 insp  (711 E 12th St, Houston, Tx 77008)
[21/237] 25077358  Partial  18 insp  (603 E 23rd St, Houston, Tx 77008)
[22/237] 25049520  Partial  50 insp  (715 Merrill St, Houston, Tx 77009)
[23/237] 26003024  Partial  20 insp  (1518 Herkimer St, Houston, Tx 77008)
[24/237] 25104267  Partial  29 insp  (826 Ralfallen St, Houston, Tx 77008)
[25/237] 26013221  Partial  15 insp  (1120 E 26th St, Houston, Tx 77009)
[26/237] 25062197  Passed   41 insp  (1119 E 7th 1/2 St, Houston, Tx 77009)
[27/237] 26004239  Partial  13 insp  (1030 W 8th St, Houston, Tx 77007)
[28/237] 25089073  Partial  18 insp  (2603 Julian St, Houston, Tx 77009)
[29/237] 26017805  Partial  13 insp  (1011 Grovewood Ln, Houston, Tx 77008)
[30/237] 26031780  Partial  9 insp  (1219 Bay Oaks Rd, Houston, Tx 77008)
[31/237] 25066472  Partial  19 insp  (1510 Glen Oaks St, Houston, Tx 77008)
[32/237] 26017597  Partial  5 insp  (310 E 25th St, Houston, Tx 77008)
[33/237] 26001769  Partial  18 insp  (920 E 25th St, Houston, Tx 77009)
[34/237] 26018707  Partial  7 insp  (410 Merrill St, Houston, Tx 77009)
[35/237] 25115993  Passed   34 insp  (709 E 17th St, Houston, Tx 77008)
[36/237] 26012829  Partial  9 insp  (118 Munford St, Houston, Tx 77008)
[37/237] 22021528  Partial  4 insp  (820 Waverly St A, Houston, TX 77007)
[38/237] 22021530  Partial  5 insp  (820 Waverly St B, Houston, TX 77007)
[39/237] 22107074  Passed   1 insp  (1811 Bonner St, Houston, TX 77007)
[40/237] 24067231  Partial  21 insp  (310 W 9th St, Houston, TX 77007)
[41/237] 24067232  Partial  19 insp  (312 W 9th St, Houston, TX 77007)
[42/237] 25021549  Partial  23 insp  (408 Columbia St, Houston, TX 77007)
[43/237] 25037476  Passed   51 insp  (122 E 4th St, Houston, TX 77007)
[44/237] 25037477  Partial  42 insp  (335 Harvard St, Houston, TX 77007)
[45/237] 25022162  Partial  23 insp  (410 Columbia St, Houston, TX 77007)
[46/237] 25049523  Partial  42 insp  (815 Lawrence St A, Houston, TX 77007)
[47/237] 25071966  Partial  19 insp  (625 Oxford St, Houston, TX 77007)
[48/237] 26010007  Passed   6 insp  (734 E 7th 1/2 St, Houston, TX 77007)
[49/237] 25074031  Partial  6 insp  (710 Waverly St C, Houston, TX 77007)
[50/237] 25074212  Partial  6 insp  (710 Waverly St B, Houston, TX 77007)
[51/237] 25074213  Partial  6 insp  (710 Waverly St A, Houston, TX 77007)
[52/237] 25071489  Partial  21 insp  (718 E 7th St, Houston, TX 77007)
[53/237] 22125285  Partial  5 insp  (1108 W 17th St, Houston, TX 77008)
[54/237] 22125286  Partial  5 insp  (1110 W 17th St, Houston, TX 77008)
[55/237] 22125287  Passed   5 insp  (1112 W 17th St, Houston, TX 77008)
[56/237] 22125288  Partial  5 insp  (1114 W 17th St, Houston, TX 77008)
[57/237] 22125289  Partial  5 insp  (1116 W 17th St, Houston, TX 77008)
[58/237] 22125290  Partial  5 insp  (1118 W 17th St, Houston, TX 77008)
[59/237] 23091472  no inspections yet  (745 W 17th St, Houston, TX 77008)
[60/237] 24016351  Partial  25 insp  (1004 Golden Nectar (Pvt) Ln, Houston, TX 77008)
[61/237] 24007883  Passed   28 insp  (1006 Golden Nectar (Pvt) Ln, Houston, TX 77008)
[62/237] 25011842  Partial  16 insp  (915 W 18th St D, Houston, TX 77008)
[63/237] 25011841  Partial  18 insp  (915 W 18th St C, Houston, TX 77008)
[64/237] 25042403  Partial  61 insp  (827 W 16th St A, Houston, TX 77008)
[65/237] 25042404  Partial  39 insp  (827 W 16th St B, Houston, TX 77008)
[66/237] 25039329  Passed   39 insp  (1602 Turnpike Rd, Houston, TX 77008)
[67/237] 25028860  Partial  61 insp  (1520 W 21st St B, Houston, TX 77008)
[68/237] 25028861  Passed   35 insp  (1520 W 21st St A, Houston, TX 77008)
[69/237] 25011840  Partial  16 insp  (915 W 18th St B, Houston, TX 77008)
[70/237] 25031314  Passed   32 insp  (308 E 28th St, Houston, TX 77008)
[71/237] 25011839  Partial  19 insp  (915 W 18th St A, Houston, TX 77008)
[72/237] 25029757  Passed   35 insp  (1623 Blount St, Houston, TX 77008)
[73/237] 24117058  Partial  11 insp  (6118 Abington Way, Houston, TX 77008)
[74/237] 25007118  Partial  32 insp  (6031 Pineshade Ln, Houston, TX 77008)
[75/237] 25011843  Partial  17 insp  (915 W 18th St E, Houston, TX 77008)
[76/237] 25011844  Partial  16 insp  (915 W 18th St F, Houston, TX 77008)
[77/237] 25098822  Partial  14 insp  (2006 Cranston Ct, Houston, TX 77008)
[78/237] 25096486  Partial  25 insp  (1018 Grovewood Ln, Houston, TX 77008)
[79/237] 25105559  Partial  27 insp  (409 E 27th St, Houston, TX 77008)
[80/237] 26009463  Partial  4 insp  (1028 Lamelia (Pvt) Ln, Houston, TX 77008)
[81/237] 25046370  Partial  24 insp  (2013 Cortlandt St, Houston, TX 77008)
[82/237] 25119654  Partial  14 insp  (2052 Columbia St, Houston, TX 77008)
[83/237] 26009059  Partial  5 insp  (629 E 26th St, Houston, TX 77008)
[84/237] 26014973  Partial  10 insp  (807 W 22nd St, Houston, TX 77008)
[85/237] 26007607  Partial  4 insp  (1026 Lamelia (Pvt) Ln, Houston, TX 77008)
[86/237] 26011945  Partial  5 insp  (6111 Hurst St, Houston, TX 77008)
[87/237] 26014282  Partial  4 insp  (805 W 22nd St, Houston, TX 77008)
